,Tax Year,County,Municipality,Zip Code,Property Type,Property Count,Avg Land Value,Avg Bldg. Value,Avg Property Value,Prior Year Tax
93,2019,ATLANTIC,FOLSOM BORO, 08094,RESIDENTIAL,293,$67792.83,$99787.37,$167580.20,$3317.27
94,2019,ATLANTIC,FOLSOM BORO,08037,RESIDENTIAL,135,$75316.30,$109828.15,$185144.44,$3700.63
99,2019,ATLANTIC,GALLOWAY TWP, 08205,RESIDENTIAL,7543,$48792.03,$135692.72,$184481.44,$5653.81
100,2019,ATLANTIC,GALLOWAY TWP, 08215,RESIDENTIAL,1364,$66177.13,$142515.76,$208674.56,$6396.49
113,2019,ATLANTIC,GALLOWAY TWP,08001,RESIDENTIAL,4398,$38506.62,$83171.92,$121672.85,$3744.32
121,2019,ATLANTIC,HAMILTON TWP, 08330,RESIDENTIAL,6470,$41480.60,$135862.03,$177315.19,$5502.86
127,2019,ATLANTIC,HAMILTON TWP,08609,RESIDENTIAL,2263,$29227.57,$84870.97,$114098.54,$3553.04
129,2019,ATLANTIC,HAMMONTON TOWN, 08037,RESIDENTIAL,3534,$58447.45,$170171.17,$228618.62,$6129.33
138,2019,ATLANTIC,HAMMONTON TOWN,08037,RESIDENTIAL,1073,$53136.53,$113181.64,$166318.17,$4483.85
143,2019,ATLANTIC,LINWOOD CITY, 08221,RESIDENTIAL,1336,$127853.22,$199776.50,$327629.72,$11223.89
144,2019,ATLANTIC,LINWOOD CITY,08221,RESIDENTIAL,1180,$111957.03,$146277.46,$258234.49,$8879.81
147,2019,ATLANTIC,LONGPORT BORO, 08403,RESIDENTIAL,184,$735717.93,$288210.87,$1023928.80,$10009.40
149,2019,ATLANTIC,LONGPORT BORO,08403,RESIDENTIAL,1379,$796886.95,$330267.30,$1127154.24,$11036.22
153,2019,ATLANTIC,MARGATE CITY CITY, 08402,RESIDENTIAL,1802,$318918.59,$196889.01,$515807.60,$8036.01
156,2019,ATLANTIC,MARGATE CITY CITY,08402,RESIDENTIAL,4685,$319053.08,$226631.65,$545684.74,$8484.76
158,2019,ATLANTIC,MULLICA TWP, 08037,RESIDENTIAL,924,$58500.22,$145627.92,$204128.14,$6235.86
159,2019,ATLANTIC,MULLICA TWP, 08215,RESIDENTIAL,625,$53741.60,$138794.72,$192536.32,$5310.61
163,2019,ATLANTIC,MULLICA TWP,08062,RESIDENTIAL,548,$53870.99,$88597.63,$142468.61,$4252.07
169,2019,ATLANTIC,NORTHFIELD CITY, 08225,RESIDENTIAL,2413,$73968.88,$151021.47,$224990.34,$7602.06
177,2019,ATLANTIC,NORTHFIELD CITY,08225,RESIDENTIAL,689,$69898.98,$132022.21,$201921.19,$6907.26
179,2019,ATLANTIC,PLEASANTVILLE CITY, 08232,RESIDENTIAL,2887,$26742.78,$80465.67,$107122.20,$4979.43
182,2019,ATLANTIC,PLEASANTVILLE CITY,08232,RESIDENTIAL,2177,$18841.85,$56799.86,$75629.44,$3548.68
183,2019,ATLANTIC,PORT REPUBLIC CITY, 08241,RESIDENTIAL,334,$65040.42,$176878.14,$241918.56,$6450.90
184,2019,ATLANTIC,PORT REPUBLIC CITY,08241,RESIDENTIAL,132,$64215.91,$135987.88,$200203.79,$5351.50
186,2019,ATLANTIC,SOMERS POINT CITY, 08244,RESIDENTIAL,2338,$76634.64,$135032.08,$211500.98,$6532.38
187,2019,ATLANTIC,SOMERS POINT CITY,08244,RESIDENTIAL,1418,$90567.77,$117162.41,$207707.48,$6461.73
192,2019,ATLANTIC,VENTNOR CITY, 08406,RESIDENTIAL,2101,$148491.91,$134854.36,$281862.73,$7417.77
196,2019,ATLANTIC,VENTNOR CITY,. 0840,RESIDENTIAL,122,$147186.89,$126108.20,$273295.08,$7197.99
197,2019,ATLANTIC,VENTNOR CITY,08406,RESIDENTIAL,3968,$183545.97,$130920.64,$311840.95,$8235.69
200,2019,ATLANTIC,WEYMOUTH TWP, 08317,RESIDENTIAL,330,$41346.97,$148001.21,$189348.18,$4765.12
201,2019,ATLANTIC,WEYMOUTH TWP, 08330,RESIDENTIAL,173,$96731.79,$129297.11,$226028.90,$5696.48
203,2019,ATLANTIC,WEYMOUTH TWP,07458,RESIDENTIAL,156,$53498.08,$112723.72,$166221.79,$4194.42
206,2019,BERGEN,ALLENDALE BORO, 07401,RESIDENTIAL,1818,$319880.53,$351798.51,$671679.04,$15440.95
211,2019,BERGEN,ALLENDALE BORO,07401,RESIDENTIAL,300,$290150.67,$299753.33,$589904.00,$13524.28
213,2019,BERGEN,ALPINE BORO, 07620,RESIDENTIAL,147,$1237545.58,$1301878.23,$2539423.81,$19751.95
214,2019,BERGEN,ALPINE BORO,07620,RESIDENTIAL,511,$1411279.06,$1406327.01,$2817606.07,$21845.91
222,2019,BERGEN,BERGENFIELD BORO, 07621,RESIDENTIAL,3321,$167102.53,$169761.82,$336864.35,$10887.28
236,2019,BERGEN,BERGENFIELD BORO,07621,RESIDENTIAL,836,$159842.82,$153293.18,$313136.00,$10156.43
241,2019,BERGEN,BOGOTA BORO, 07603,RESIDENTIAL,1710,$130998.42,$132027.02,$263009.12,$10273.72
244,2019,BERGEN,BOGOTA BORO,07603,RESIDENTIAL,294,$126603.40,$134238.44,$260841.84,$10216.56
245,2019,BERGEN,CARLSTADT BORO, 07072,RESIDENTIAL,981,$164942.51,$208578.08,$373520.59,$6967.78
247,2019,BERGEN,CARLSTADT BORO,07072,RESIDENTIAL,383,$165125.07,$219200.26,$384325.33,$7214.85
250,2019,BERGEN,CLIFFSIDE PARK BORO, 07010,RESIDENTIAL,4159,$190674.97,$177072.88,$367747.85,$8856.07
264,2019,BERGEN,CLIFFSIDE PARK BORO,07010,RESIDENTIAL,1833,$197579.71,$161993.84,$359573.54,$7883.53
271,2019,BERGEN,CLOSTER BORO, 07624,RESIDENTIAL,2120,$386182.88,$340538.87,$726721.75,$15910.55
279,2019,BERGEN,CLOSTER BORO,07624,RESIDENTIAL,405,$377211.60,$283306.42,$660518.02,$14229.03
286,2019,BERGEN,CRESSKILL BORO, 07626,RESIDENTIAL,2130,$300944.84,$389228.59,$690173.43,$16473.76
289,2019,BERGEN,CRESSKILL BORO,07626,RESIDENTIAL,480,$290052.08,$438152.50,$728204.58,$17310.36
295,2019,BERGEN,DEMAREST BORO, 07627,RESIDENTIAL,1397,$400651.04,$386527.85,$787178.88,$20021.52
300,2019,BERGEN,DEMAREST BORO,07627,RESIDENTIAL,186,$421205.91,$346268.82,$767474.73,$19403.77
306,2019,BERGEN,DUMONT BORO, 07628,RESIDENTIAL,4094,$166094.85,$140544.93,$306639.78,$11001.71
313,2019,BERGEN,DUMONT BORO,07628,RESIDENTIAL,643,$163010.42,$146759.88,$309770.30,$11127.20
317,2019,BERGEN,E RUTHERFORD BORO, 07073,RESIDENTIAL,1263,$218164.45,$177044.18,$395208.63,$6414.51
320,2019,BERGEN,E RUTHERFORD BORO,07070,RESIDENTIAL,568,$202497.36,$178452.29,$380949.65,$6159.84
325,2019,BERGEN,EDGEWATER BORO, 07020,RESIDENTIAL,2331,$245857.10,$244171.30,$490028.40,$8933.55
341,2019,BERGEN,EDGEWATER BORO,07020,RESIDENTIAL,1489,$206979.25,$245008.19,$451987.44,$7946.69
350,2019,BERGEN,ELMWOOD PARK BORO, 07407,RESIDENTIAL,3937,$190131.93,$133871.09,$324003.02,$9439.96
361,2019,BERGEN,ELMWOOD PARK BORO,07407,RESIDENTIAL,905,$205497.46,$150438.12,$355935.58,$10386.01
367,2019,BERGEN,EMERSON BORO, 07630,RESIDENTIAL,1972,$217525.76,$226265.37,$443791.13,$12034.18
369,2019,BERGEN,EMERSON BORO,07630,RESIDENTIAL,204,$210878.43,$212656.86,$423535.29,$11501.54
381,2019,BERGEN,ENGLEWOOD CITY, 07631,RESIDENTIAL,5061,$259716.20,$218867.75,$478583.96,$13055.88
390,2019,BERGEN,ENGLEWOOD CITY,07631,RESIDENTIAL,1413,$233781.60,$183170.06,$416951.66,$11419.35
397,2019,BERGEN,ENGLEWOOD CLIFFS BORO, 07632,RESIDENTIAL,1431,$802241.72,$532531.66,$1334773.38,$13946.41
402,2019,BERGEN,ENGLEWOOD CLIFFS BORO,07631,RESIDENTIAL,368,$774072.55,$472164.13,$1246236.68,$13097.18
403,2019,BERGEN,FAIRLAWN BORO, 07410,RESIDENTIAL,9197,$174788.54,$160261.56,$335050.10,$11059.00
409,2019,BERGEN,FAIRLAWN BORO,07704,RESIDENTIAL,985,$153532.39,$135473.20,$289005.58,$9547.68
413,2019,BERGEN,FAIRVIEW BORO, 07022,RESIDENTIAL,1193,$118616.18,$186403.78,$305019.96,$10183.78
416,2019,BERGEN,FAIRVIEW BORO,07022,RESIDENTIAL,773,$103056.66,$190921.54,$293978.21,$9882.81
418,2019,BERGEN,FORT LEE BORO, 07024,RESIDENTIAL,6528,$273731.70,$206272.96,$480004.66,$10953.18
422,2019,BERGEN,FORT LEE BORO,07024,RESIDENTIAL,1777,$236445.76,$181968.42,$418414.18,$9475.47
429,2019,BERGEN,FRANKLIN LAKES BORO, 07417,RESIDENTIAL,3069,$445855.82,$628938.35,$1074794.17,$17507.15
436,2019,BERGEN,FRANKLIN LAKES BORO,07416,RESIDENTIAL,375,$432420.53,$537804.53,$970225.07,$15759.70
439,2019,BERGEN,GARFIELD CITY, 07026,RESIDENTIAL,3751,$112466.04,$168987.34,$281426.71,$7967.20
454,2019,BERGEN,GARFIELD CITY,07026,RESIDENTIAL,1877,$110603.73,$175087.75,$285691.48,$8118.72
460,2019,BERGEN,GLEN ROCK BORO, 07452,RESIDENTIAL,3420,$311727.19,$259423.54,$571150.73,$16469.86
465,2019,BERGEN,GLEN ROCK BORO,07452,RESIDENTIAL,423,$290143.03,$237551.06,$527694.09,$15242.06
475,2019,BERGEN,HACKENSACK CITY, 07601,RESIDENTIAL,5787,$118807.85,$137035.04,$255842.89,$8529.64
487,2019,BERGEN,HACKENSACK CITY,07601,RESIDENTIAL,2215,$106572.01,$130920.68,$237492.69,$7937.53
491,2019,BERGEN,HARRINGTON PARK BORO, 07640,RESIDENTIAL,1395,$271342.65,$275919.43,$547262.08,$15493.37
497,2019,BERGEN,HARRINGTON PARK BORO,07640,RESIDENTIAL,165,$247117.58,$250266.06,$497383.64,$13885.25
504,2019,BERGEN,HASBROUCK HGHTS BORO, 07604,RESIDENTIAL,2832,$174906.11,$219602.75,$394508.86,$10976.67
511,2019,BERGEN,HASBROUCK HGHTS BORO,07604,RESIDENTIAL,468,$170370.94,$211948.93,$382319.87,$10599.62
516,2019,BERGEN,HAWORTH BORO, 07641,RESIDENTIAL,1002,$276961.28,$348740.12,$625701.40,$17953.13
518,2019,BERGEN,HAWORTH BORO,07641,RESIDENTIAL,121,$279579.34,$308548.76,$588128.10,$16973.42
526,2019,BERGEN,HILLSDALE BORO, 07642,RESIDENTIAL,2951,$265447.95,$210450.25,$475898.20,$13305.68
530,2019,BERGEN,HILLSDALE BORO,07642,RESIDENTIAL,323,$251661.92,$186032.51,$437694.43,$12155.43
533,2019,BERGEN,HOHOKUS BORO, 07423,RESIDENTIAL,1235,$375225.43,$390809.31,$766034.74,$16378.39
538,2019,BERGEN,HOHOKUS BORO,07423,RESIDENTIAL,178,$369307.87,$396183.15,$765491.01,$16376.27
542,2019,BERGEN,LEONIA BORO, 07605,RESIDENTIAL,2112,$248565.01,$194416.10,$442981.11,$13034.66
545,2019,BERGEN,LEONIA BORO,07605,RESIDENTIAL,311,$200246.95,$188891.64,$389138.59,$11469.60
554,2019,BERGEN,LITTLE FERRY BORO, 07643,RESIDENTIAL,1604,$142516.15,$148035.97,$290552.12,$9335.41
558,2019,BERGEN,LITTLE FERRY BORO,07643,RESIDENTIAL,441,$133581.63,$133801.13,$267382.77,$8573.09
569,2019,BERGEN,LODI BORO, 07644,RESIDENTIAL,3280,$155407.99,$167813.48,$323221.46,$10467.74
573,2019,BERGEN,LODI BORO,07644,RESIDENTIAL,1130,$143724.87,$159184.78,$302909.65,$9808.78
576,2019,BERGEN,LYNDHURST TWP, 07071,RESIDENTIAL,3126,$162954.35,$148793.15,$311747.50,$9266.69
582,2019,BERGEN,LYNDHURST TWP,07071,RESIDENTIAL,998,$176501.80,$158040.98,$334542.79,$9958.56
587,2019,BERGEN,MAHWAH TWP, 07430,RESIDENTIAL,7573,$259354.35,$247455.90,$506810.25,$9193.28
594,2019,BERGEN,MAHWAH TWP,07430,RESIDENTIAL,1724,$185665.43,$157082.89,$342748.32,$6186.16
601,2019,BERGEN,MAYWOOD BORO, 07607,RESIDENTIAL,2035,$173904.47,$147358.33,$321262.80,$9758.67
607,2019,BERGEN,MAYWOOD BORO,07607,RESIDENTIAL,502,$171211.55,$146818.13,$318029.68,$9692.74
611,2019,BERGEN,MIDLAND PARK BORO, 07432,RESIDENTIAL,1712,$207107.89,$197824.36,$404932.24,$12077.55
616,2019,BERGEN,MIDLAND PARK BORO,07432,RESIDENTIAL,317,$182795.90,$164430.28,$347226.18,$10368.94
622,2019,BERGEN,MONTVALE BORO, 07645,RESIDENTIAL,2258,$265338.22,$284557.62,$549895.84,$12817.99
626,2019,BERGEN,MONTVALE BORO,07645,RESIDENTIAL,521,$201583.69,$197668.14,$399251.82,$9302.01
629,2019,BERGEN,MOONACHIE BORO, 07074,RESIDENTIAL,434,$150363.13,$189331.80,$339694.93,$8044.34
633,2019,BERGEN,MOONACHIE BORO,07074,RESIDENTIAL,112,$144563.39,$206328.57,$350891.96,$8200.56
639,2019,BERGEN,NEW MILFORD BORO, 07646,RESIDENTIAL,3857,$161990.02,$166733.26,$328723.28,$11324.42
644,2019,BERGEN,NEW MILFORD BORO,07646,RESIDENTIAL,293,$156929.35,$157501.02,$314430.38,$10899.26
646,2019,BERGEN,NORTH ARLINGTON BORO, 07031,RESIDENTIAL,3023,$165516.01,$171931.16,$337447.17,$9617.76
654,2019,BERGEN,NORTH ARLINGTON BORO,07031,RESIDENTIAL,647,$165416.38,$195943.59,$361359.97,$10334.27
660,2019,BERGEN,NORTHVALE BORO, 07647,RESIDENTIAL,1005,$248502.79,$153737.41,$402240.20,$11337.76
664,2019,BERGEN,NORTHVALE BORO,07647,RESIDENTIAL,272,$205631.62,$167213.60,$372845.22,$9924.43
672,2019,BERGEN,NORWOOD BORO, 07648,RESIDENTIAL,1192,$268257.47,$300121.56,$568379.03,$13881.35
675,2019,BERGEN,NORWOOD BORO,07648,RESIDENTIAL,248,$269222.98,$283982.26,$553205.24,$13439.72
683,2019,BERGEN,OAKLAND BORO, 07436,RESIDENTIAL,3862,$203379.44,$218248.08,$421627.52,$11937.55
686,2019,BERGEN,OAKLAND BORO,07436,RESIDENTIAL,512,$170013.48,$184525.98,$354539.45,$10068.69
694,2019,BERGEN,OLD TAPPAN BORO, 07675,RESIDENTIAL,1489,$426061.05,$420579.38,$846640.43,$17178.85
698,2019,BERGEN,OLD TAPPAN BORO,08857,RESIDENTIAL,293,$397539.59,$358213.65,$755753.24,$15365.12
706,2019,BERGEN,ORADELL BORO, 07649,RESIDENTIAL,1840,$269079.08,$288026.68,$557105.76,$15208.75
709,2019,BERGEN,ORADELL BORO,07649,RESIDENTIAL,215,$251067.91,$261623.26,$512691.16,$14018.93
717,2019,BERGEN,PALISADES PARK BORO, 07650,RESIDENTIAL,1772,$240944.98,$235727.48,$476672.46,$9422.79
723,2019,BERGEN,PALISADES PARK BORO,07650,RESIDENTIAL,1817,$235408.09,$270129.88,$505537.97,$9813.19
729,2019,BERGEN,PARAMUS BORO, 07652,RESIDENTIAL,5765,$280200.97,$252888.72,$533089.69,$9736.02
733,2019,BERGEN,PARAMUS BORO,07652,RESIDENTIAL,1241,$277699.68,$234806.93,$512506.61,$9456.61
742,2019,BERGEN,PARK RIDGE BORO, 07656,RESIDENTIAL,2073,$276110.81,$206020.12,$482130.92,$13320.95
746,2019,BERGEN,PARK RIDGE BORO,07656,RESIDENTIAL,491,$214470.67,$169013.03,$383483.71,$10599.54
753,2019,BERGEN,RAMSEY BORO, 07446,RESIDENTIAL,3367,$242601.37,$309083.66,$551685.03,$13244.75
765,2019,BERGEN,RAMSEY BORO,07446,RESIDENTIAL,875,$192818.97,$218954.29,$411773.26,$9865.83
775,2019,BERGEN,RIDGEFIELD BORO, 07657,RESIDENTIAL,1590,$197010.57,$208589.69,$405600.25,$9796.87
782,2019,BERGEN,RIDGEFIELD BORO,07657,RESIDENTIAL,474,$171662.87,$186473.00,$358135.86,$8680.03
785,2019,BERGEN,RIDGEFIELD PARK VILLAGE, 07660,RESIDENTIAL,2181,$128116.64,$144623.75,$271893.86,$10442.67
787,2019,BERGEN,RIDGEFIELD PARK VILLAGE,07657,RESIDENTIAL,665,$121157.29,$140600.45,$261207.67,$10035.54
791,2019,BERGEN,RIDGEWOOD VILLAGE, 07450,RESIDENTIAL,6448,$351531.75,$359413.51,$710945.25,$18258.01
794,2019,BERGEN,RIDGEWOOD VILLAGE,07450,RESIDENTIAL,721,$321431.90,$283363.66,$604795.56,$15645.73
801,2019,BERGEN,RIVEREDGE BORO, 07661,RESIDENTIAL,2890,$193620.03,$196207.82,$389827.85,$13229.34
806,2019,BERGEN,RIVEREDGE BORO,07701,RESIDENTIAL,292,$194903.42,$190515.07,$385418.49,$12736.25
815,2019,BERGEN,RIVERVALE TWP, 07675,RESIDENTIAL,2543,$320469.33,$289345.85,$609815.18,$15416.63
818,2019,BERGEN,RIVERVALE TWP,07661,RESIDENTIAL,281,$278338.08,$237467.97,$515806.05,$12961.25
827,2019,BERGEN,ROCHELLE PARK TWP, 07662,RESIDENTIAL,1130,$188308.23,$144846.37,$333154.60,$8181.54
834,2019,BERGEN,ROCHELLE PARK TWP,07662,RESIDENTIAL,278,$180182.73,$148991.37,$329174.10,$8068.49
839,2019,BERGEN,RUTHERFORD BORO, 07070,RESIDENTIAL,4058,$254314.80,$180810.34,$435125.14,$11741.13
846,2019,BERGEN,RUTHERFORD BORO,07070,RESIDENTIAL,742,$227540.57,$180359.70,$407900.27,$10999.66
852,2019,BERGEN,SADDLE BROOK TWP, 07662,RESIDENTIAL,296,$165200.00,$154279.73,$319479.73,$7882.40
853,2019,BERGEN,SADDLE BROOK TWP, 07663,RESIDENTIAL,2987,$162008.64,$183889.86,$345898.49,$8587.52
854,2019,BERGEN,SADDLE BROOK TWP,07663,RESIDENTIAL,621,$158898.23,$179414.17,$338312.40,$8468.37
860,2019,BERGEN,SADDLE RIVER BORO, 07458,RESIDENTIAL,904,$765478.65,$1133241.04,$1898719.69,$17202.35
862,2019,BERGEN,SADDLE RIVER BORO,07458,RESIDENTIAL,371,$815252.56,$1081673.32,$1896925.88,$17073.48
865,2019,BERGEN,SO HACKENSACK TWP, 07606,RESIDENTIAL,337,$147403.56,$201962.31,$349365.88,$9427.17
866,2019,BERGEN,SO HACKENSACK TWP,07601,RESIDENTIAL,138,$139300.72,$211023.19,$350323.91,$9477.98
881,2019,BERGEN,TEANECK TWP, 07666,RESIDENTIAL,8758,$191407.49,$198156.50,$389563.99,$12352.66
889,2019,BERGEN,TEANECK TWP,07666,RESIDENTIAL,1193,$172068.82,$179748.53,$351817.35,$11156.04
893,2019,BERGEN,TENAFLY BORO, 07670,RESIDENTIAL,2581,$467948.20,$368385.86,$836334.06,$21192.35
895,2019,BERGEN,TENAFLY BORO,07670,RESIDENTIAL,1884,$454913.43,$347914.81,$802828.24,$20358.66
900,2019,BERGEN,UPPER SADDLE RIV BORO, 07458,RESIDENTIAL,2246,$344991.01,$436880.23,$781871.24,$18540.65
906,2019,BERGEN,UPPER SADDLE RIV BORO,07663,RESIDENTIAL,369,$326234.96,$430866.12,$757101.08,$18085.76
912,2019,BERGEN,WALDWICK BORO, 07463,RESIDENTIAL,2160,$245566.62,$173828.15,$419394.77,$11207.26
922,2019,BERGEN,WALDWICK BORO,07463,RESIDENTIAL,599,$233510.02,$175808.18,$409318.20,$10921.24
923,2019,BERGEN,WALLINGTON BORO, 07057,RESIDENTIAL,1641,$154749.97,$164200.43,$318950.40,$9379.88
928,2019,BERGEN,WALLINGTON BORO,07057,RESIDENTIAL,521,$139313.05,$155587.33,$294900.38,$8695.82
934,2019,BERGEN,WASHINGTON TWP, 07676,RESIDENTIAL,3072,$239086.26,$230095.12,$469181.38,$11062.05
938,2019,BERGEN,WASHINGTON TWP,07882,RESIDENTIAL,270,$203286.67,$210697.78,$413984.44,$9796.01
947,2019,BERGEN,WESTWOOD BORO, 07675,RESIDENTIAL,2602,$234432.24,$197781.25,$432213.49,$10511.46
950,2019,BERGEN,WESTWOOD BORO,07675,RESIDENTIAL,471,$222459.66,$177521.87,$399981.53,$9755.68
955,2019,BERGEN,WOOD RIDGE BORO, 07075,RESIDENTIAL,2408,$188833.64,$200567.52,$357519.89,$9634.67
958,2019,BERGEN,WOOD RIDGE BORO,07075,RESIDENTIAL,401,$164066.08,$199026.18,$314736.91,$8133.79
961,2019,BERGEN,WOODCLIFF LAKE BORO, 07675,RESIDENTIAL,120,$315489.17,$544545.83,$860035.00,$17833.80
963,2019,BERGEN,WOODCLIFF LAKE BORO, 07677,RESIDENTIAL,1339,$306299.18,$475869.38,$782168.56,$16081.79
967,2019,BERGEN,WOODCLIFF LAKE BORO,07677,RESIDENTIAL,143,$298537.06,$398341.96,$696879.02,$14251.79
973,2019,BERGEN,WYCKOFF TWP, 07481,RESIDENTIAL,4018,$464322.32,$357049.25,$821371.58,$14648.26
980,2019,BERGEN,WYCKOFF TWP,07481,RESIDENTIAL,477,$416272.12,$254692.24,$670964.36,$11962.44
981,2019,BURLINGTON,BASS RIVER TWP, 08087,RESIDENTIAL,173,$78040.46,$135612.72,$213653.18,$4577.70
984,2019,BURLINGTON,BASS RIVER TWP,07661,RESIDENTIAL,319,$84248.28,$128564.26,$212812.54,$4521.14
985,2019,BURLINGTON,BEVERLY CITY, 08010,RESIDENTIAL,464,$35121.98,$91678.45,$126800.43,$5771.67
988,2019,BURLINGTON,BEVERLY CITY,08010,RESIDENTIAL,255,$31737.65,$86468.24,$118205.88,$5383.64
990,2019,BURLINGTON,BORDENTOWN CITY, 08505,RESIDENTIAL,916,$74958.19,$131766.81,$206725.00,$7121.38
991,2019,BURLINGTON,BORDENTOWN CITY,08505,RESIDENTIAL,282,$71486.52,$117656.38,$189142.91,$6568.72
996,2019,BURLINGTON,BORDENTOWN TWP, 08505,RESIDENTIAL,2214,$80496.12,$171577.69,$252073.80,$8696.76
1005,2019,BURLINGTON,BORDENTOWN TWP, 08620,RESIDENTIAL,388,$81335.31,$171156.96,$252492.27,$8659.05
1010,2019,BURLINGTON,BORDENTOWN TWP,08505,RESIDENTIAL,405,$80865.19,$139263.95,$220129.14,$7589.87
1015,2019,BURLINGTON,BURLINGTON CITY, 08016,RESIDENTIAL,2096,$45575.14,$104713.02,$150288.17,$5609.69
1028,2019,BURLINGTON,BURLINGTON CITY,08016,RESIDENTIAL,1066,$33759.47,$81872.23,$115631.71,$4352.69
1034,2019,BURLINGTON,BURLINGTON TWP, 08016,RESIDENTIAL,5694,$61546.21,$181563.51,$243109.71,$7173.98
1055,2019,BURLINGTON,BURLINGTON TWP,08016,RESIDENTIAL,752,$42741.49,$122703.99,$165445.48,$4890.68
1061,2019,BURLINGTON,CHESTERFIELD TWP, 08515,RESIDENTIAL,1576,$113345.56,$282026.84,$395372.40,$11647.75
1066,2019,BURLINGTON,CHESTERFIELD TWP,07930,RESIDENTIAL,213,$121005.63,$215235.21,$336240.85,$9820.20
1070,2019,BURLINGTON,CINNAMINSON TWP, 08077,RESIDENTIAL,5113,$72720.09,$165789.42,$238509.51,$8314.46
1071,2019,BURLINGTON,CINNAMINSON TWP,08077,RESIDENTIAL,581,$60299.31,$135665.06,$195964.37,$6901.00
1075,2019,BURLINGTON,DELANCO TWP, 08075,RESIDENTIAL,1216,$49353.70,$148945.39,$198299.10,$6363.91
1084,2019,BURLINGTON,DELANCO TWP,08075,RESIDENTIAL,399,$47665.41,$124156.14,$171821.55,$5534.85
1096,2019,BURLINGTON,DELRAN TWP, 08075,RESIDENTIAL,3527,$51740.49,$164171.62,$215912.11,$8164.32
1099,2019,BURLINGTON,DELRAN TWP,08075,RESIDENTIAL,634,$45321.45,$140358.68,$185680.13,$7060.94
1103,2019,BURLINGTON,EASTAMPTON TWP, 08060,RESIDENTIAL,1475,$52903.73,$176513.36,$229417.08,$7093.27
