City,2018 Rank,2018 Avg Score
Cedarville,651.0,41.017145
Chatham,61.0,87.67300800000001
Chatsworth,801.0,27.90773
Cherry Hill,336.29411764705884,69.56492823529413
Chester,117.66666666666667,86.27066666666667
Chesterfield,451.0,69.86729
Cinnaminson,317.6666666666667,65.86381666666666
Clark,263.5,68.02308749999999
Clarksburg,401.0,72.95142
Clayton,651.0,23.988799999999998
Clementon,501.0,56.200064999999995
Cliffside Park,351.0,64.79810833333333
Cliffwood,601.0,51.849535
Clifton,634.3333333333334,49.400690555555556
Clinton,267.6666666666667,72.82239
Closter,1.0,98.36158999999999
Collingswood,251.0,71.15998499999999
Colonia,509.3333333333333,54.05730833333333
Colts Neck,151.0,75.69448666666666
Columbus,217.66666666666666,66.50225666666667
Cranbury,76.0,87.937405
Cranford,158.14285714285714,80.44059571428572
Cresskill,76.0,85.70469
Dayton,351.0,75.87355
Deal,701.0,35.769005
Delair,1201.0,12.87973
Delanco,826.0,23.972504999999998
Delaware,551.0,62.3625
Delran,517.6666666666666,40.67330333333333
Demarest,51.0,93.39885
Dennisville,451.0,41.269909999999996
Denville,81.0,84.67532399999999
Deptford,617.6666666666666,42.73761666666667
Dorothy,451.0,62.519355000000004
Dover,479.57142857142856,58.56243428571428
Dumont,258.14285714285717,75.89657142857142
Dunellen,467.6666666666667,42.767786666666666
E Brunswick,272.42857142857144,72.2490957142857
East Brunswick,163.5,72.85968500000001
East Hanover,184.33333333333334,77.05765666666667
East Newark,676.0,40.285865
East Orange,808.5,30.354122500000006
East Rutherford,334.3333333333333,54.94017666666667
East Windsor,551.0,49.345439999999996
Eastampton,726.0,33.85902
Eatontown,376.0,64.274975
Edgewater,601.0,59.11249
Edgewater Park,776.0,29.46324
Edison,262.7647058823529,75.10013882352939
Egg Harbor City,734.3333333333334,18.559903333333335
Egg Harbor Township,608.1428571428571,45.561971428571425
Elizabeth,673.0338983050848,31.76250305084745
Elmwood Park,551.0,47.102639999999994
Elwood,551.0,50.169545
Emerson,267.6666666666667,65.92310333333334
Englewood,531.0,43.045584
Englewood Cliffs,1.0,98.36158999999999
Englishtown,201.0,43.40745
Erial,451.0,47.524589999999996
Essex Fells,1.0,98.61146
Estell Manor,576.0,48.465045
Ewing,665.2857142857143,26.005648571428573
Fair Haven,1.0,98.36158999999999
Fair Lawn,151.0,84.58267444444445
Fairfield,101.0,89.23321999999999
Fairview,876.0,19.60237
Farmingdale,221.0,70.58217199999999
Flanders,201.0,75.41110333333334
Flemington,251.0,79.56593000000001
Florence,501.0,34.19546
Florham Park,126.0,85.0241
Fords,751.0,39.656977499999996
Forked River,626.0,46.10262
Fort Dix,651.0,54.930609999999994
Fort Lee,226.0,75.002605
Franklin,601.0,51.19423333333333
Franklin Lakes,101.0,88.800856
Franklin Park,751.0,47.45002
Franklinville,226.0,52.06303
Freehold,374.0769230769231,64.52381846153847
Frenchtown,311.0,67.37294999999999
Galloway,769.75,31.839606250000003
Garfield,555.5454545454545,49.33139818181819
Garwood,426.0,62.0313
Gibbsboro,626.0,45.115809999999996
Gibbstown,476.0,56.806635
Glassboro,688.5,30.25542
Glen Gardner,51.0,77.71073
Glen Ridge,34.333333333333336,91.51178333333333
Glen Rock,59.333333333333336,89.05401666666666
Glendora,501.0,66.06623
Gloucester City,451.0,45.43969666666666
Great Meadows,251.0,76.73112
Green Brook,176.0,81.65399500000001
Greendell,151.0,83.93525500000001
Greenwich,526.0,55.54312499999999
Guttenberg,601.0,46.826724999999996
Hackensack,558.1428571428571,50.076365714285714
Hackettstown,288.5,68.60968749999999
Haddon Heights,201.0,73.80976999999999
Haddonfield,269.75,78.604435
Hainesport,376.0,66.342185
Haledon,567.6666666666666,32.93796
Hamburg,438.5,48.08544499999999
Hamilton,681.0,41.7944904
Hammonton,601.0,43.19640833333333
Hampton,567.6666666666666,55.79719
Harrington Park,51.0,89.51567
Harrison,534.3333333333334,37.08380666666667
Harrisonville,551.0,62.3625
Hasbrouck Heights,201.0,75.16108
Haskell,326.0,72.220785
Haworth,51.0,89.51567
Hawthorne,471.0,54.54723
Hazlet,521.0,52.20241000000001
Hewitt,551.0,62.3625
High Bridge,401.0,61.37818
Highland Park,434.3333333333333,47.36610999999999
Highlands,226.0,71.4603575
Hightstown,401.0,51.259969999999996
Hillsborough,169.75,82.7436625
Hillsdale,151.0,81.4560525
Hillside,634.3333333333334,25.025806666666668
Ho Ho Kus,26.0,95.25073499999999
Hoboken,289.46153846153845,67.03724307692309
Holmdel,101.0,82.12353999999999
Hopatcong,617.6666666666666,27.649289999999997
Hope,351.0,69.975595
Hopewell,201.0,83.40661
Howell,376.0,70.377335
Irvington,1021.8333333333334,14.497755833333331
Iselin,363.5,61.8144075
Island Heights,101.0,89.23321999999999
Jackson,476.0,54.347581000000005
Jamesburg,626.0,42.655465
Jersey City,554.9473684210526,43.699732499999996
Jobstown,301.0,78.06528
Johnsonburg,451.0,69.86729
Keansburg,717.6666666666666,15.639973333333332
Kearny,678.7777777777778,39.97459666666666
Kendall Park,363.5,73.86256499999999
Kenilworth,551.0,32.99374333333333
Keyport,488.5,47.294512499999996
Kinnelon,67.66666666666667,84.52851333333332
Lafayette,376.0,65.50817
Lake Como,351.0,15.45928
Lake Hiawatha,226.0,82.31776500000001
Lakehurst,901.0,17.618555
Lakewood,934.3333333333334,16.378518333333332
Lambertville,526.0,49.20395
Landing,701.0,51.641729999999995
Lanoka Harbor,434.3333333333333,54.26132333333334
Laurel Springs,401.0,72.95142
Laurence Harbor,301.0,78.06528
Lavallette,176.0,86.99263499999999
Lawnside,826.0,25.52346
Lawrenceville,467.6666666666667,59.14183833333333
Layton,251.0,81.22892
Lebanon,501.0,66.031955
Leonardo,501.0,56.200064999999995
Leonia,167.66666666666666,78.55444999999999
Liberty Corner,301.0,78.06528
Lincoln Park,201.0,81.25757
Lincroft,126.0,88.366465
Linden,714.6363636363636,38.45421363636364
Lindenwold,901.0,9.160910000000001
Linwood,101.0,78.99929333333334
Little Egg Harbor,534.3333333333334,41.04834
Little Falls,84.33333333333333,77.96963999999998
Little Ferry,551.0,51.36184
Little Silver,51.0,88.35188999999998
Livingston,51.0,93.15131
Lodi,343.85714285714283,69.59878428571429
Logan Township,176.0,81.65399500000001
Long Branch,821.0,24.666336
Long Valley,351.0,73.1671025
Lumberton,701.0,38.810045
Lyndhurst,351.0,56.818016
Madison,161.0,83.7989
Magnolia,726.0,34.90864
Mahwah,61.0,88.99637
Manahawkin,288.5,62.72825499999999
Manalapan,117.66666666666667,87.15378166666666
Manasquan,217.66666666666666,75.05557
Manchester,488.5,47.740147500000006
Mantua,351.0,75.87355
Manville,517.6666666666666,40.67330333333333
Maple Shade,634.3333333333334,26.612283333333334
Maplewood,351.0,66.98537666666667
Margate City,51.0,93.67246999999999
Marlboro,121.0,83.99785800000001
Marlton,517.6666666666666,56.62365222222222
Marmora,201.0,83.40661
Matawan,217.66666666666666,69.58287333333334
Mays Landing,501.0,34.034530000000004
Maywood,51.0,89.51567
Medford,212.11111111111111,70.55311222222223
Medford Lakes,351.0,70.59578
Mendham,101.0,86.99656333333333
Merchantville,551.0,48.10025999999999
Metuchen,288.5,73.0585875
Mickleton,301.0,78.06528
Middlesex,471.0,57.119876
Middletown,251.0,69.09316833333334
Midland Park,201.0,74.63538333333332
Milford,434.3333333333333,66.19517666666667
Millburn,13.5,96.154235
Millington,251.0,81.22892
Millstone Township,151.0,77.58869
Milltown,401.0,62.374445
Millville,978.7777777777778,14.150621111111112
Mine Hill,451.0,69.86729
Minotola,1201.0,12.87973
Monmouth Beach,51.0,93.67246999999999
Monmouth Junction,101.0,81.35950599999998
Monroe Township,188.5,75.95463249999999
Monroe Twp,751.0,47.45002
Monroeville,301.0,68.37397
Montague,526.0,53.06634
Montclair,322.42857142857144,66.96147857142857
Montvale,67.66666666666667,92.34078
Montville,51.0,93.02054249999999
Moonachie,301.0,71.63664499999999
Moorestown,81.0,91.048414
Morganville,117.66666666666667,86.75342
Morris Plains,141.0,83.113734
Morristown,438.5,60.6787525
Mount Arlington,276.0,73.09770999999999
Mount Ephraim,426.0,58.45822
Mount Holly,517.6666666666666,43.83117000000001
Mount Laurel,501.0,55.26170125
Mount Tabor,151.0,86.58081999999999
Mountain Lakes,13.5,92.48447999999999
Mountainside,76.0,92.34626999999999
Mullica Hill,201.0,73.57537333333333
N Caldwell,1.0,98.61146
National Park,851.0,40.764379999999996
Neptune,807.25,29.750192499999997
Neptune City,776.0,27.43619
Neshanic Station,401.0,72.95142
Netcong,576.0,49.72351999999999
New Brunswick,901.0,18.916819411764706
New Egypt,251.0,66.11056
New Gretna,951.0,33.52258
New Milford,213.5,74.43054749999999
New Monmouth,651.0,54.930609999999994
New Providence,26.0,94.59880749999999
New Vernon,26.0,95.25073499999999
Newark,673.457627118644,31.497528728813556
Newfield,1051.0,24.73102
Newport,851.0,21.588234999999997
Newton,406.55555555555554,57.22387555555555
North Arlington,411.0,57.569047999999995
North Bergen,674.0769230769231,35.416050000000006
North Brunswick,676.0,39.971145
North Caldwell,26.0,91.0728
North Haledon,376.0,66.342185
North Middletown,801.0,44.04102
North Plainfield,841.0,22.32317
North Wildwood,576.0,46.455819999999996
Northfield,526.0,52.2654
Northvale,201.0,81.25757
Norwood,201.0,81.25757
Nutley,286.7142857142857,73.91712285714286
Oak Ridge,371.0,61.658632
Oakhurst,626.0,34.069235
Oakland,241.0,77.351912
Oaklyn,601.0,58.64655499999999
Ocean,501.0,53.08082
Ocean City,251.0,65.53367666666666
Ocean Gate,901.0,37.34255
Oceanport,101.0,85.656145
Ogdensburg,626.0,42.655465
Old Bridge,406.0,68.883652
Old Tappan,51.0,93.39885
Oradell,26.0,93.94688
Orange,726.0,29.514160625
Oxford,676.0,37.47991999999999
Palisades Park,517.6666666666666,39.398630000000004
Palmyra,501.0,40.53924
Paramus,206.55555555555554,76.49506666666667
Park Ridge,101.0,83.441465
Parlin,392.6666666666667,60.425995
Parsippany,219.75,79.066505
Passaic,846.8333333333334,16.156282499999996
Paterson,748.5,22.725142500000004
Paulsboro,751.0,11.855553333333333
Pedricktown,351.0,68.19405
Pemberton,617.6666666666666,26.297923333333333
Pennington,134.33333333333334,70.344475
Penns Grove,651.0,11.3513
Pennsauken,801.0,20.957201428571434
Pennsville,567.6666666666666,32.93796
Pequannock,251.0,81.22892
Perth Amboy,678.2727272727273,27.109318181818185
Phillipsburg,584.3333333333334,42.56526444444445
Pine Beach,1051.0,24.73102
Pine Brook,51.0,92.38975
Pine Hill,701.0,29.1176125
Piscataway,362.1111111111111,56.71311777777778
Pitman,431.0,55.796612
Pittsgrove,417.6666666666667,46.87107666666666
Pittstown,526.0,55.54312499999999
Plainfield,805.3478260869565,22.86790086956521
Plainsboro,101.0,86.5711475
Pleasantville,942.6666666666666,14.530486666666667
Point Pleasant Beach,265.2857142857143,70.45162428571429
Pompton Lakes,313.5,68.39848749999999
Pompton Plains,76.0,85.83072250000001
Port Elizabeth,826.0,23.972504999999998
Port Monmouth,526.0,55.54312499999999
Port Murray,801.0,44.04102
Port Norris,976.0,8.197955
Port Reading,951.0,33.52258
Port Republic,151.0,86.58081999999999
Princeton,188.5,82.49233625000001
Prospect Park,1034.3333333333333,12.168416666666667
Quakertown,376.0,65.50817
Quinton,576.0,49.72351999999999
Rahway,792.6666666666666,27.991508333333332
Ramsey,88.5,84.56406
Randolph,301.0,73.299105
Raritan,701.0,51.641729999999995
Red Bank,542.6666666666666,54.17999833333332
Ridgefield,284.3333333333333,64.42631
Ridgefield Park,581.0,46.21957
Ridgewood,39.888888888888886,93.01521666666666
Ringoes,167.66666666666666,86.85652
Ringwood,217.66666666666666,78.55434666666666
River Edge,34.333333333333336,95.3188
River Vale,201.0,81.18365333333334
Riverdale,351.0,67.4087
Riverside,734.3333333333334,13.230103333333332
Riverton,176.0,81.65399500000001
Robbinsville,134.33333333333334,80.33957333333335
Rochelle Park,476.0,58.295919999999995
Rockaway,358.14285714285717,65.76039142857142
Roebling,601.0,55.655919999999995
Roosevelt,101.0,89.23321999999999
Roseland,151.0,86.58081999999999
Roselle,811.0,22.593044000000003
Roselle Park,441.0,57.2001
Rosenhayn,626.0,43.90676499999999
Rumson,17.666666666666668,91.47796999999998
Runnemede,651.0,36.2517775
Rutherford,438.5,56.75987
Saddle Brook,551.0,50.918406000000004
Saddle River,1.0,98.61146
Salem,551.0,44.959538888888886
Sayreville,451.0,69.86729
Scotch Plains,108.6923076923077,87.18457
Sea Girt,84.33333333333333,92.65069999999999
Seabrook,726.0,34.90864
Seaside Heights,1201.0,12.87973
Secaucus,341.0,58.01262799999999
Sergeantsville,451.0,59.94036
Sewaren,1001.0,28.54737
Sewell,419.75,49.139811249999994
Shamong,526.0,54.495565
Ship Bottom,851.0,40.764379999999996
Short Hills,1.0,98.61146000000001
Shrewsbury,126.0,85.0241
Sicklerville,672.4285714285714,42.34021142857142
Skillman,134.33333333333334,84.77387333333333
Somerdale,534.3333333333334,36.13769666666666
Somers Point,634.3333333333334,26.612283333333334
Somerset,458.6923076923077,57.45791846153847
Somerville,501.0,39.060826666666664
South Amboy,567.6666666666666,31.853133333333332
South Bound Brook,551.0,51.36184
South Hackensack,326.0,71.82746
South Orange,301.0,71.63664499999999
South Plainfield,317.6666666666667,67.906125
South River,601.0,30.910223333333334
Southampton,451.0,62.519355000000004
Sparta,231.0,64.639564
Spotswood,351.0,57.736153333333334
Spring Lake,138.5,83.88347
Springfield,263.5,65.3425675
Stanhope,291.0,67.61301999999999
Stewartsville,276.0,76.35391000000001
Stillwater,301.0,78.06528
Stirling,51.0,86.64159000000001
Stone Harbor,51.0,92.38975
Stratford,526.0,54.495565
Succasunna,381.0,65.25201
Summit,43.857142857142854,94.58427714285713
Sussex,417.6666666666667,52.229036666666666
Tabernacle,484.3333333333333,43.85474
Teaneck,388.5,60.42854625
Tenafly,51.0,92.81027833333333
Teterboro,1.0,95.50401
Three Bridges,201.0,83.40661
Tinton Falls,251.0,66.92790666666667
Titusville,101.0,89.23321999999999
Toms River,631.0,44.21513733333333
Totowa,601.0,46.826724999999996
Towaco,201.0,83.40661
Township Of Washington,188.5,74.68585999999999
Trenton,881.7692307692307,19.75234192307692
Tuckerton,851.0,40.764379999999996
Turnersville,688.5,52.54271
Union,478.77777777777777,56.72884555555555
Union Beach,501.0,56.200064999999995
Union City,585.6153846153846,52.718805384615365
Upper Montclair,367.6666666666667,69.25627333333334
Upper Saddle River,1.0,98.36158999999999
Ventnor City,626.0,47.526444999999995
Vernon,384.3333333333333,55.242623333333334
Verona,317.6666666666667,69.66838499999999
Vineland,760.375,34.683350625
Voorhees,201.0,76.77761
Waldwick,188.5,76.283675
Wall,226.0,76.67281166666666
Wallington,438.5,51.773675000000004
Wanaque,184.33333333333334,77.58040666666666
Waretown,1051.0,24.73102
Warren,126.0,82.47170333333334
Washington,467.6666666666667,48.319048333333335
Watchung,101.0,86.611205
Wayne,317.6666666666667,71.49261133333333
Weehawken,534.3333333333334,37.47221666666667
Wenonah,601.0,58.658654999999996
West Berlin,601.0,48.012605
West Caldwell,271.0,65.478408
West Cape May,501.0,66.06623
West Collingswood,1101.0,21.62
West Creek,751.0,47.45002
West Deptford,226.0,54.178779999999996
West Long Branch,201.0,69.66057
West Milford,409.3333333333333,62.103746666666666
West New York,819.75,31.667722499999996
West Orange,416.0,60.894776
West Windsor,76.0,85.83072250000001
Westampton,534.3333333333334,38.12530666666667
Westfield,123.22222222222223,88.46341555555557
Westmont,413.5,58.080237499999996
Westville,951.0,32.747699999999995
Westwood,101.0,86.40388666666666
Wharton,576.0,53.2708675
Whippany,251.0,78.75811999999999
Whitehouse Station,151.0,79.77754499999999
Whiting,801.0,44.04102
Wildwood,717.6666666666666,19.143236666666667
Wildwood Crest,676.0,37.47991999999999
Williamstown,442.6666666666667,59.75499833333333
Willingboro,879.5714285714286,16.650554285714286
Winfield Park,776.0,27.43619
Wood Ridge,234.33333333333334,59.89660666666666
Woodbine,567.6666666666666,45.964843333333334
Woodbridge,511.0,45.012874
Woodbury,776.0,29.685909999999996
Woodbury Hts,451.0,42.370713333333335
Woodcliff Lake,51.0,93.67246999999999
Woodland Park,551.0,49.345439999999996
Woodlynne,851.0,18.04116
Woodstown,263.5,58.9332175
Woolwich Township,601.0,59.11249
Woolwich Twp,126.0,74.0163
Wrightstown,634.3333333333334,50.56848
Wyckoff,191.0,83.27677800000001
