Zip Code,Township
07603,Bogota  
07005,Boonton  
07005,Boonton Township 
08505,Bordentown  
08805,Bound Brook 
08037,Braddock  
07746,Bradevelt  
07720,Bradley Beach 
08853,Branchburg  
08876,Branchburg  
07826,Branchville  
07827,Branchville  
07890,Branchville  
08008,Brant Beach 
08723,Brick  
08724,Brick  
08723,Bricktown  
08724,Bricktown  
08075,Bridgeboro  
08014,Bridgeport  
08302,Bridgeton  
08807,Bridgewater  
08730,Brielle  
08203,Brigantine  
08203,Brigantine City 
08808,Broadway  
07003,Brookdale  
08030,Brooklawn  
07926,Brookside  
08015,Browns Mills 
07828,Budd Lake 
08310,Buena Vista Township
08210,Burleigh  
08016,Burlington Township 
07405,Butler  
07829,Buttzville  
07821,Byram Township 
07006,Caldwell  
07007,Caldwell  
07830,Califon  
08101,Camden  
08102,Camden  
08103,Camden  
08104,Camden  
08105,Camden  
08204,Cape May 
08210,Cape May 
08212,Cape May Point
07072,Carlstadt  
08332,Carmel  
08069,Carneys Point Township
07008,Carteret  
07030,Castle Point 
08094,Cecil  
07758,Cedar Beach 
08050,Cedar Bonnet Island
08018,Cedar Brook 
07009,Cedar Grove 
07927,Cedar Knolls 
08092,Cedar Run 
08311,Cedarville  
07184,Cenlar Bank 
08318,Centerton  
07831,Changewater  
07928,Chatham Township 
08019,Chatsworth  
08002,Cherry Hill Township
08003,Cherry Hill Township
08034,Cherry Hill Township
08089,Chesilhurst  
07930,Chester  
08515,Chesterfield Township 
07083,Chestnut  
08012,Chews Landing 
08077,Cinnaminson Township 
07066,Clark  
08020,Clarksboro  
08510,Clarksburg  
08312,Clayton  
08021,Clementon  
08210,Clermont  
07010,Cliffside Park 
07721,Cliffwood  
07735,Cliffwood Beach 
07460,Cliffwood Lake 
07011,Clifton  
07012,Clifton  
07013,Clifton  
07014,Clifton  
07015,Clifton  
08809,Clinton  
07624,Closter  
08204,Cold Spring 
07461,Colesville  
08094,Collings Lakes 
08107,Collingswood  
08108,Collingswood  
08213,Cologne  
07067,Colonia  
07722,Colts Neck 
07832,Columbia  
08022,Columbus  
07961,Convent Station 
08511,Cookstown  
08270,Corbin City 
07438,Cozy Lake 
08512,Cranbury  
07016,Cranford  
08514,Cream Ridge 
07626,Cresskill  
08080,Cross Keys 
08515,Crosswicks  
07456,Cupsaw Lake 
08318,Daretown  
07446,Darlington  
08810,Dayton  
07723,Deal Park 
08023,Deepwater  
08313,Deerfield  
08302,Deerfield Township 
08251,Del Haven 
08110,Delair  
08075,Delanco  
08075,Delanco Township 
07014,Delawanna  
07833,Delaware  
08865,Delaware Park 
08314,Delmont  
08075,Delran Township 
07627,Demarest  
08214,Dennisville  
07834,Denville  
08096,Departmentford  
08097,Departmentford  
08096,Departmentford Township 
08215,Devonshire  
08315,Dividing Creek 
08646,Division of Revenue
08695,Division of Revenue
07017,Doddtown  
08316,Dorchester  
08317,Dorothy  
07801,Dover  
07802,Dover  
07803,Dover  
07806,Dover  
07869,Dover  
08753,Dover Township 
07628,Dumont  
07055,Dundee  
08812,Dunellen  
08092,Eagleswood Township 
07722,Earle Naval Weapons
08551,East Amwell 
08551,East Amwell Township
08009,East Berlin 
08816,East Brunswick 
08105,East Camden 
07728,East Freehold 
08033,East Haddonfield 
07936,East Hanover 
07734,East Keansburg 
08873,East Millstone 
08875,East Millstone 
07029,East Newark 
07017,East Orange 
07018,East Orange 
07019,East Orange 
07073,East Rutherford 
08360,East Vineland 
08512,East Windsor 
08520,East Windsor 
08060,Eastampton  
08060,Eastampton Township 
07724,Eatontown  
07799,Eatontown  
08043,Echelon  
07020,Edgewater  
08010,Edgewater Park 
08817,Edison  
08818,Edison  
08820,Edison  
08837,Edison  
08899,Edison  
08906,Edison  
08541,Educational Testing Service
08215,Egg Harbor 
08232,Egg Harbor Township
08234,Egg Harbor Township
07740,Elberon  
07755,Elberon Park 
08270,Eldora  
07201,Elizabeth  
07202,Elizabeth  
07206,Elizabeth  
07207,Elizabeth  
07208,Elizabeth  
07305,Ellis Island 
08002,Ellisburg  
08037,Elm  
08318,Elmer  
07202,Elmora  
07407,Elmwood Park 
08217,Elwood  
07630,Emerson  
07631,Englewood  
07632,Englewood Cliffs 
08330,English Creek 
07726,Englishtown  
08081,Erial  
08002,Erlton  
08204,Erma  
07456,Erskine Lakes 
07021,Essex Fells 
08319,Estell Manor 
08053,Evesboro  
08053,Evesham  
08053,Evesham Township 
08025,Ewan  
08560,Ewing Township 
08618,Ewing Township 
08628,Ewing Township 
08638,Ewing Township 
07704,Fair Haven 
07410,Fair Lawn 
07004,Fairfield  
08302,Fairfield Township 
07410,Fairlawn  
08320,Fairton  
07022,Fairview  
07023,Fanwood  
07931,Far Hills 
07727,Farmingdale  
08232,Farmington  
07405,Fayson Lakes 
08505,Fieldsboro  
08876,Finderne  
08204,Fishing Creek 
07308,Five Corners 
08821,Flagtown  
07836,Flanders  
08822,Flemington  
08518,Florence  
07932,Florham Park 
08037,Folsom  
08863,Fords  
08731,Forked River 
08640,Fort Dix 
07024,Fort Lee 
07703,Fort Monmouth 
08321,Fortescue  
07416,Franklin  
07417,Franklin Lakes 
08823,Franklin Park 
08873,Franklin Township 
08322,Franklinville  
07860,Fredon Township 
07728,Freehold  
08825,Frenchtown  
08201,Galloway Township 
08205,Galloway Township 
08345,Gandys Beach 
07026,Garfield  
07027,Garwood  
07732,Gateway National Recreation
07728,Georgia  
07460,Gerard  
08215,Germania  
08026,Gibbsboro  
08027,Gibbstown  
07933,Gillette  
07934,Gladstone  
08028,Glassboro  
07837,Glasser  
08826,Glen Gardner 
07028,Glen Ridge 
07452,Glen Rock 
08029,Glendora  
07418,Glenwood  
08030,Gloucester  
08031,Gloucester  
07480,Gordon Lakes 
08218,Goshen  
08260,Grassy Sound 
07838,Great Meadows 
07424,Great Notch 
08215,Green Bank 
08812,Green Brook 
08219,Green Creek 
07435,Green Pond 
07821,Green Township 
07935,Green Village 
07839,Greendell  
07435,Greenpond  
07305,Greenville  
08323,Greenwich Township 
07421,Greenwood Lake 
08032,Grenloch  
07950,Greystone Park 
07003,Grove  
08620,Groveville  
07093,Guttenberg  
07601,Hackensack  
07602,Hackensack  
07840,Hackettstown  
08035,Haddon Heights 
08104,Haddon Township 
08107,Haddon Township 
08108,Haddon Township 
08033,Haddonfield  
08036,Hainesport Township 
07508,Haledon  
07538,Haledon  
07419,Hamburg  
08609,Hamilton  
08610,Hamilton Township 
08611,Hamilton Township 
08619,Hamilton Township 
08620,Hamilton Township 
08629,Hamilton Township 
08650,Hamilton  
08690,Hamilton Township 
08691,Hamilton Township 
08690,Hamilton  
08037,Hammonton  
08827,Hampton  
08038,Hancocks Bridge 
07825,Hardwick  
07419,Hardyston  
07460,Hardyston  
08865,Harmony Township 
07640,Harrington Park 
07029,Harrison  
08062,Harrison Township 
08039,Harrisonville  
08008,Harvey Cedars 
07604,Hasbrouck Heights 
07420,Haskell  
07641,Haworth  
07506,Hawthorne  
07507,Hawthorne  
07730,Hazlet  
07734,Hazlet Township 
08324,Heislerville  
08828,Helmetta  
07421,Hewitt  
08083,Hi Nella 
07842,Hibernia  
08008,High Bar Harbor
08829,High Bridge 
07405,High Crest 
07461,High Point 
07422,Highland Lakes 
08904,Highland Park 
07732,Highlands  
08520,Hightstown  
07502,Hillcrest  
08844,Hillsborough  
07642,Hillsdale  
07205,Hillside  
08012,Hilltop  
07423,Ho Ho Kus
07030,Hoboken  
07733,Holmdel  
07843,Hopatcong  
07844,Hope  
08861,Hopelawn  
08525,Hopewell Township 
07731,Howell  
08080,Hurffville  
07734,Ideal Beach 
08526,Imlaystown  
07205,Ind Hillside 
08088,Indian Mills 
07205,Industrial Hillside 
07712,Interlaken  
07105,Ironbound  
07845,Ironia  
07111,Irvington  
08830,Iselin  
08732,Island Heights 
08527,Jackson Township 
08562,Jacobstown  
08831,Jamesburg  
07438,Jefferson Township 
08096,Jericho  
07709,Jersey Central Power
07097,Jersey City 
07302,Jersey City 
07303,Jersey City 
07304,Jersey City 
07305,Jersey City 
07306,Jersey City 
07307,Jersey City 
07308,Jersey City 
07310,Jersey City 
07311,Jersey City 
07395,Jersey City 
07399,Jersey City 
07728,Jerseyville  
08041,Jobstown  
08933,Johnson & Johnson 
07825,Johnsonburg  
07846,Johnsonburg  
07188,JP Morgan Chase
07193,JP Morgan Chase
08042,Juliustown  
07734,Keansburg  
07032,Kearny  
07099,Kearny  
08832,Keasbey  
08824,Kendall Park 
07033,Kenilworth  
07847,Kenvil  
07735,Keyport  
08906,Kilmer Gmf 
08528,Kingston  
07405,Kinnelon  
08043,Kirkwd Voorhs 
08043,Kirkwood  
08053,Kresson  
08731,Lacey  
08734,Lacey Township 
07848,Lafayette  
07719,Lake Como 
07034,Lake Hiawatha 
07849,Lake Hopatcong 
07005,Lake Intervale 
07460,Lake Stockholm 
07438,Lake Swannanoa 
07460,Lake Tamarack 
08733,Lakehurst  
08759,Lakehurst  
08012,Lakeland  
08701,Lakewood  
08530,Lambertville  
07850,Landing  
08326,Landisville  
08734,Lanoka Harbor 
08332,Laurel Lake 
08021,Laurel Springs 
08879,Laurence Harbor 
08735,Lavallette  
08045,Lawnside  
08648,Lawrence Township 
08648,Lawrenceville  
07851,Layton  
08833,Lebanon  
07852,Ledgewood  
08220,Leeds Point 
08327,Leesburg  
08087,Leh  
08057,Lenola  
07737,Leonardo  
07605,Leonia  
07938,Liberty Corner 
07035,Lincoln Park 
07738,Lincroft  
07036,Linden  
08021,Lindenwold  
07405,Lindy Lake 
08221,Linwood  
07470,Lionshead Lake 
08087,Little Egg Harbor
07424,Little Falls 
07643,Little Ferry 
07739,Little Silver 
08834,Little York 
07039,Livingston  
07034,Lk Hiawatha 
07849,Lk Hopatcong 
07005,Lk Intervale 
07711,Loch Arbour 
07760,Locust  
07644,Lodi  
08085,Logan Township 
08008,Long Beach Township
07740,Long Branch 
07853,Long Valley 
08403,Longport  
08865,Lopatcong  
08008,Loveladies  
08215,Lower Bank 
07045,Lower Montville 
08048,Lumberton Township 
07071,Lyndhurst  
07939,Lyons  
07005,Lyonsville  
07940,Madison  
08049,Magnolia  
07430,Mahwah  
07495,Mahwah  
07011,Main Avenue Station
08328,Malaga  
08050,Manahawkin  
07726,Manalapan  
08736,Manasquan  
08733,Manchester  
08759,Manchester  
08733,Manchester Township 
08759,Manchester Township 
08079,Mannington Township 
08022,Mansfield  
08738,Mantoloking  
08051,Mantua  
08835,Manville  
08052,Maple Shade 
07040,Maplecrest  
07040,Maplewood  
08402,Margate City 
07746,Marlboro  
08053,Marlton  
08053,Marlton Lakes 
08223,Marmora  
08836,Martinsville  
08054,Masonville  
07747,Matawan  
08329,Mauricetown  
08092,Mayetta  
08330,Mays Landing 
08210,Mayville  
07607,Maywood  
07428,Mc Afee 
08641,Mc Guire Air
07428,McAfee  
08232,McKee City 
08234,McKee City 
07096,Meadows  
08055,Medford  
08055,Medford Township 
07945,Mendham Township 
08837,Menlo Park 
08619,Mercerville  
08109,Merchantville  
07005,Meriden  
08989,Merrill Lynch 
07199,Merrill Lynch Inc
08840,Metuchen  
08251,Miami Beach 
08056,Mickleton  
08873,Middlebush  
08846,Middlesex  
07748,Middletown  
07855,Middleville  
07432,Midland Park 
07102,Midtown  
07465,Midvale  
08848,Milford  
07041,Millburn  
07728,Millhurst  
07946,Millington  
08510,Millstone  
08535,Millstone  
08844,Millstone  
08510,Millstone Township 
08535,Millstone Township 
08850,Milltown  
08332,Millville  
08340,Milmay  
07803,Mine Hill 
08341,Minotola  
08342,Mizpah  
07093,Monitor  
07724,Monmouth  
07750,Monmouth Beach 
07732,Monmouth Hills 
08852,Monmouth Junction 
07757,Monmouth Park 
08831,Monroe Township 
08343,Monroeville  
07827,Montague  
07042,Montclair  
07043,Montclair  
08502,Montgomery  
08558,Montgomery  
07645,Montville Township 
07045,Montville Township 
07074,Moonachie  
08057,Moorestown  
08879,Morgan  
07751,Morganville  
07950,Morris Plains 
07960,Morristown  
07961,Morristown  
07962,Morristown  
07963,Morristown  
07657,Morsemere  
07856,Mount Arlington 
08059,Mount Ephraim 
07970,Mount Freedom 
08060,Mount Holly Township
08054,Mount Laurel Township
07828,Mount Olive 
08061,Mount Royal 
07878,Mount Tabor 
07046,Mountain Lakes 
07470,Mountain View 
07092,Mountainside  
07856,Mt Arlington 
07060,Muhlenberg  
08062,Mullica Hill 
07974,Murray Hill 
08087,Mystic Islands 
08063,National Park 
07752,Navesink  
07753,Neptune  
07754,Neptune  
08037,Nesco  
08853,Neshanic Station 
07857,Netcong  
08901,New Brunswick 
08902,New Brunswick 
08903,New Brunswick 
08904,New Brunswick 
08906,New Brunswick 
08933,New Brunswick 
08989,New Brunswick 
08533,New Egypt 
08224,New Gretna 
08064,New Lisbon 
07646,New Milford 
07748,New Monmouth 
07974,New Providence 
07976,New Vernon 
07101,Newark  
07102,Newark  
07103,Newark  
07104,Newark  
07105,Newark  
07106,Newark  
07107,Newark  
07108,Newark  
07112,Newark  
07114,Newark  
07175,Newark  
07184,Newark  
07188,Newark  
07189,Newark  
07191,Newark  
07192,Newark  
07193,Newark  
07195,Newark  
07198,Newark  
07199,Newark  
08344,Newfield  
07435,Newfoundland  
08345,Newport  
07860,Newton  
08346,Newtonville  
08645,Nj Income Tax
08647,Nj Income Tax
07097,Nj International&Bmc 
08666,NJ Motor Vehicles
07715,NJ Natural Gas
08646,NJ Taxation Department
08695,NJ Taxation Department
07699,Nnj Metro P&Dc
08347,Norma  
08739,Normandy Beach 
07031,North Arlington 
08008,North Beach 
07047,North Bergen 
08876,North Branch 
08902,North Brunswick 
07006,North Caldwell 
08204,North Cape May
07003,North Center 
08075,North Delran 
08214,North Dennis 
07208,North Elizabeth 
07508,North Haledon 
07538,North Haledon 
08562,North Hanover 
08053,North Marlton 
07748,North Middletown 
07646,North Milford 
07060,North Plainfield 
07062,North Plainfield 
07063,North Plainfield 
08260,North Wildwood 
08225,Northfield  
07647,Northvale  
07648,Norwood  
07110,Nutley  
07438,Oak Ridge 
08090,Oak Valley 
07755,Oakhurst  
07436,Oakland  
08107,Oaklyn  
07712,Ocean  
08226,Ocean City 
08740,Ocean Gate 
07756,Ocean Grove 
08230,Ocean View 
07757,Oceanport  
08231,Oceanville  
07439,Ogdensburg  
08857,Old Bridge 
07675,Old Tappan 
08858,Oldwick  
07649,Oradell  
07050,Orange  
07051,Orange  
08751,Ortley Beach 
08723,Osbornville  
07026,Outwater  
07009,Overbrook  
07863,Oxford  
07470,Packanack Lake 
08223,Palermo  
08230,Palermo  
07024,Palisade  
07650,Palisades Park 
08065,Palmyra  
07002,Pamrapo  
08001,Paradise Lakes 
07652,Paramus  
07653,Paramus  
07656,Park Ridge 
07202,Parkandbush  
08087,Parkertown  
08859,Parlin  
07054,Parsippany  
07055,Passaic  
07501,Paterson  
07502,Paterson  
07503,Paterson  
07504,Paterson  
07505,Paterson  
07508,Paterson  
07509,Paterson  
07510,Paterson  
07511,Paterson  
07512,Paterson  
07513,Paterson  
07514,Paterson  
07522,Paterson  
07524,Paterson  
07533,Paterson  
07538,Paterson  
07543,Paterson  
07544,Paterson  
08066,Paulsboro  
07977,Peapack  
08067,Pedricktown  
08751,Pelican Island 
08068,Pemberton  
08534,Pennington  
08069,Penns Grove 
08109,Pennsauken  
08110,Pennsauken  
08070,Pennsville  
07513,Peoples Park 
07543,Peoples Park 
07440,Pequannock Township 
08535,Perrineville  
07399,Pershing  
08861,Perth Amboy 
08862,Perth Amboy 
08863,Perth Amboy 
08270,Petersburg  
07201,Peterstown  
07722,Phalanx  
08865,Phillipsburg  
07806,Picatinny Arsenal 
08098,Pilesgrove Township 
08741,Pine Beach 
07058,Pine Brook 
07480,Pine Cliff Lake
08053,Pine Grove 
08021,Pine Hill 
08021,Pine Valley 
07058,Pinebrook  
08201,Pinehurst  
07470,Pines Lake 
08854,Piscataway  
08855,Piscataway  
08071,Pitman  
08318,Pittsgrove Township 
08867,Pittstown  
07060,Plainfield  
07061,Plainfield  
07062,Plainfield  
07063,Plainfield  
07069,Plainfield  
08536,Plainsboro  
07096,Plaza  
08232,Pleasantville  
07978,Pluckemin  
08533,Plumsted Township 
08742,Point Pleasant 
08240,Pomona  
07442,Pompton Falls 
07457,Pompton Junction 
07442,Pompton Lakes 
07444,Pompton Plains 
08348,Port Elizabeth 
07758,Port Monmouth 
07865,Port Murray 
08349,Port Norris 
07064,Port Reading 
08241,Port Republic 
07757,Port-au-Peck  
07979,Pottersville  
07005,Powerville  
07470,Preakness  
08540,Princeton  
08541,Princeton  
08542,Princeton  
08543,Princeton  
08544,Princeton  
08550,Princeton Junction 
08540,Princeton Township 
08544,Princeton University 
07508,Prospect Park 
07538,Prospect Park 
08742,Point Pleasant Beach 
08868,Quakertown  
08072,Quinton  
07410,Radburn  
07065,Rahway  
07446,Ramsey  
08073,Rancocas  
08054,Rancocas Woods 
07869,Randolph  
08869,Raritan  
08870,Readington  
07701,Red Bank 
07702,Red Bank 
07703,Red Bank 
07704,Red Bank 
07709,Red Bank 
08350,Richland  
08074,Richwood  
07657,Ridgefield  
07660,Ridgefield Park 
07450,Ridgewood  
07451,Ridgewood  
08551,Ringoes  
07456,Ringwood  
08242,Rio Grande 
07026,Ritz  
07661,River Edge 
07675,River Vale 
07457,Riverdale  
08075,Riverside  
08076,Riverton  
08077,Riverton  
07675,Rivervale  
08691,Robbinsville  
07662,Rochelle Park 
07866,Rockaway  
07005,Rockaway Valley 
07647,Rockleigh  
08553,Rocky Hill 
08554,Roebling  
08555,Roosevelt  
08037,Rosedale  
07068,Roseland  
07203,Roselle  
07204,Roselle Park 
08556,Rosemont  
08352,Rosenhayn  
07107,Roseville  
07836,Roxbury Township 
07760,Rumson  
08078,Runnemede  
07070,Rutherford  
07663,Saddle Brook 
07458,Saddle River 
08079,Salem  
07757,Sands Point 
07732,Sandy Hook 
07826,Sandyston  
07827,Sandyston  
07851,Sandyston  
08871,Sayreville  
08872,Sayreville  
07870,Schooleys Mountain 
07076,Scotch Plains 
08330,Scullville  
07760,Sea Bright 
08750,Sea Girt 
08243,Sea Isle City
08751,Seaside Heights 
08752,Seaside Park 
08230,Seaville  
07094,Secaucus  
07096,Secaucus  
08557,Sergeantsville  
07077,Sewaren  
08080,Sewell  
07480,Shady Lake 
08088,Shamong Township 
07753,Shark River Hills
07719,Shark River Manor
08098,Sharptown  
08260,Shaw Crest 
08353,Shiloh  
08008,Ship Bottom 
07078,Short Hills 
07702,Shrewsbury  
07724,Shrewsbury Township 
08081,Sicklerville  
07460,Silver Lake 
07424,Singac  
08558,Skillman  
07456,Skyline Lakes 
08201,Smithville  
08205,Smithville  
08083,Somerdale  
08244,Somers Point 
08873,Somerset  
08875,Somerset  
08876,Somerville  
08879,South Amboy 
07719,South Belmar 
08880,South Bound Brook
08876,South Branch 
08810,South Brunswick 
08104,South Camden 
08245,South Dennis 
08215,South Egg Harbor
07606,South Hackensack 
08062,South Harrison Township
07032,South Kearny 
07079,South Orange 
07503,South Paterson 
07533,South Paterson 
07080,South Plainfield 
08882,South River 
08752,South Seaside Park
08246,South Seaville 
08757,South Toms River
08360,South Vineland 
08088,Southampton Township 
07871,Sparta  
08884,Spotswood  
07762,Spring Lake 
07081,Springfield  
08050,Stafford Township 
08092,Staffordville  
07874,Stanhope  
08885,Stanton  
08645,State Income Tax
08270,Steelmantown  
08234,Steelmanville  
08886,Stewartsville  
07875,Stillwater  
07980,Stirling  
07460,Stockholm  
08559,Stockton  
08247,Stone Harbor 
08302,Stow Creek Township
08084,Stratford  
08248,Strathmere  
07747,Strathmore  
07876,Succasunna  
07901,Summit  
07902,Summit  
07087,Summit Avenue 
08008,Surf City 
07461,Sussex  
08210,Swainton  
07877,Swartswood  
08085,Swedesboro  
08037,Sweetwater  
08088,Tabernacle Township 
07878,Tabor  
08009,Tansboro  
07093,Taurus  
08033,Tavistock  
07005,Taylortown  
07666,Teaneck  
07670,Tenafly  
07763,Tennent  
07608,Teterboro  
07699,Teterboro  
07830,Tewksbury Township 
08324,Thompson Beach 
08086,Thorofare  
08887,Three Bridges 
07701,Tinton Falls 
07712,Tinton Falls 
07724,Tinton Falls 
07727,Tinton Falls 
07753,Tinton Falls 
08560,Titusville  
08753,Toms River 
08754,Toms River 
08755,Toms River 
08756,Toms River 
08757,Toms River 
07502,Totowa  
07511,Totowa  
07512,Totowa  
07082,Towaco  
08204,Town Bank 
07052,Town Center 
07083,Townley  
08243,Strathmere
07111,Township Of Irvington
07676,Township of Washington
07879,Tranquility  
07036,Tremley  
08601,Trenton  
08602,Trenton  
08603,Trenton  
08604,Trenton  
08605,Trenton  
08606,Trenton  
08607,Trenton  
08608,Trenton  
08609,Trenton  
08610,Trenton  
08611,Trenton  
08618,Trenton  
08619,Trenton  
08620,Trenton  
08625,Trenton  
08628,Trenton  
08629,Trenton  
08638,Trenton  
08641,Trenton  
08645,Trenton  
08646,Trenton  
08647,Trenton  
08648,Trenton  
08650,Trenton  
08666,Trenton  
08690,Trenton  
08691,Trenton  
08695,Trenton  
07054,Troy Hills 
08250,Tuckahoe  
08087,Tuckerton  
08012,Turnersville  
07047,Tyler Park 
07458,U Saddle Riv
07083,Union  
07735,Union Beach 
07083,Union Center 
07087,Union City 
07201,Union Square 
08302,Upper Deerfield Township
08691,Upper Free Township
08501,Upper Freehold 
08514,Upper Freehold Township
07421,Upper Greenwood Lake
07043,Upper Montclair 
07458,Upper Saddle River
07030,Uptown  
07099,USPS  
07175,USPS  
07395,USPS  
07699,USPS  
07018,VA Hospital 
07724,Vail Homes 
07106,Vailsburg  
07722,Vanderburg  
07088,Vauxhall  
08406,Ventnor  
08093,Verga  
07462,Vernon  
07044,Verona  
07801,Victory Gardens 
07880,Vienna  
08251,Villas  
08088,Vincentown  
08360,Vineland  
08361,Vineland  
08362,Vineland  
08043,Voorhees  
08043,Evesham
08043,Glendale
07191,Wachovia Bank 
07192,Wachovia Bank 
07463,Waldwick  
07719,Wall Township 
07727,Wall Township 
07731,Wall Township 
07753,Wall Township 
07762,Wall Township 
08724,Wall Township 
08736,Wall Township 
08750,Wall Township 
07057,Wallington  
07461,Wallkill Lake 
07881,Wallpack Center 
07712,Wanamassa  
07465,Wanaque  
07461,Wantage Township 
08758,Waretown  
07059,Warren  
08005,Warren Grove 
07882,Washington  
07102,Washington Park 
07030,Washington Street 
07676,Washington Township 
07069,Watchung  
08089,Waterford Township 
08004,Waterford Township 
07470,Wayne  
07474,Wayne  
07712,Wayside  
07086,Weehawken  
08215,Weekstown  
07112,Weequahic  
08090,Wenonah  
07711,West Allenhurst 
08530,West Amwell 
07032,West Arlington 
08004,West Atco 
08232,West Atlantic City
07719,West Belmar 
08091,West Berlin 
07006,West Caldwell 
07007,West Caldwell 
08204,West Cape May
07008,West Carteret 
08107,West Collingswood 
08059,West Collingswood Heights
08092,West Creek 
08051,West Departmentford 
08063,West Departmentford 
08066,West Departmentford 
08086,West Departmentford 
08093,West Departmentford 
08096,West Departmentford 
07740,West End 
07666,West Englewood 
07024,West Fort Lee
07734,West Keansburg 
07764,West Long Branch
07480,West Milford Lakes
07093,West New York
07052,West Orange 
07424,West Paterson 
08628,West Trenton 
08087,West Tuckerton 
08260,West Wildwood 
08550,West Windsor Township
08060,Westampton Township 
07701,Westboro  
07090,Westfield  
07091,Westfield  
08108,Westmont  
08093,Westville  
08093,Westville Grove 
07675,Westwood  
07677,Westwood  
08330,Weymouth  
07885,Wharton  
07981,Whippany  
07999,Whippany  
08889,White House Station
08888,Whitehouse  
08889,Whitehouse Station 
08252,Whitesboro  
08759,Whiting  
07765,Wickatunk  
08260,Wildwood  
08094,Williamstown  
08046,Willingboro  
08344,Willow Grove 
08561,Windsor  
07036,Winfield Park 
08095,Winslow  
07075,Wood Ridge 
08270,Woodbine  
07095,Woodbridge  
08096,Woodbury  
08097,Woodbury  
07047,Woodcliff  
07677,Woodcliff Lake 
08003,Woodcrest  
07424,Woodland Park 
08107,Woodlynne  
08098,Woodstown  
08085,Woolwich Township 
08562,Wrightstown  
07481,Wyckoff  
08873,Zarepath  
08890,Zarephath  
08079,Alloway
08079,Mannington Township
08079,Elsinboro
07976,Harding Township
08345,Downe Township
08349,Commercial Township
07881,Walpack Township
08848,Alexandria Township
08214,Dennis Township
07920,Bernards Township
07981,Hanover Township
07832,Knowlton Township
07822,Frankford Township 
08562,No Hanover Township
08562,North Hanover Township
08210,Middle Township
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
